store_id,product_id,category,region,avg_daily_demand,std_demand,avg_lead_time,safety_stock,reorder_point,eoq,current_inventory,days_of_stock,status,suggested_order
S001,P0006,Electronics,North,130.67,109.02,1.0,209.1,339.7,587.4,305,2.3,Low,587.0
S001,P0004,Groceries,West,140.9,113.64,1.0,219.9,360.8,608.2,338,2.4,Low,608.0
S005,P0014,Toys,West,137.36,111.17,1.0,214.9,352.3,596.8,328,2.4,Low,597.0
S002,P0014,Clothing,West,134.41,105.01,1.0,205.1,339.5,593.7,342,2.5,Healthy,0.0
S004,P0006,Toys,East,141.1,108.44,1.0,212.8,353.9,625.3,364,2.6,Healthy,0.0
S005,P0005,Toys,South,141.86,105.77,1.0,209.5,351.3,619.5,372,2.6,Healthy,0.0
S001,P0015,Electronics,East,137.89,112.8,1.0,217.5,355.3,607.0,356,2.6,Healthy,0.0
S003,P0013,Groceries,West,147.03,112.6,1.0,221.2,368.2,619.4,388,2.6,Healthy,0.0
S003,P0002,Groceries,South,142.75,111.97,1.0,218.4,361.2,621.3,388,2.7,Healthy,0.0
S001,P0013,Groceries,North,132.87,109.16,1.0,210.2,343.1,595.0,356,2.7,Healthy,0.0
S005,P0015,Furniture,North,149.25,115.68,1.0,226.4,375.7,623.2,408,2.7,Healthy,0.0
S004,P0014,Furniture,South,142.14,111.0,1.0,216.8,358.9,611.4,386,2.7,Healthy,0.0
S003,P0018,Electronics,North,132.02,108.3,1.0,208.6,340.6,593.1,375,2.8,Healthy,0.0
S002,P0002,Groceries,North,128.79,106.05,1.0,204.1,332.9,579.3,364,2.8,Healthy,0.0
S002,P0003,Clothing,South,133.01,111.34,1.0,213.3,346.3,594.1,372,2.8,Healthy,0.0
S005,P0019,Toys,East,135.05,108.66,1.0,210.4,345.5,593.5,374,2.8,Healthy,0.0
S005,P0013,Electronics,West,139.32,107.31,1.0,210.4,349.8,607.7,389,2.8,Healthy,0.0
S004,P0010,Toys,North,137.79,111.13,1.0,215.1,352.9,606.5,382,2.8,Healthy,0.0
S004,P0008,Furniture,West,134.57,106.94,1.0,207.8,342.4,591.8,390,2.9,Healthy,0.0
S002,P0001,Clothing,East,145.01,113.57,1.0,221.6,366.6,627.9,415,2.9,Healthy,0.0
S003,P0005,Electronics,West,144.2,109.34,1.0,215.4,359.6,621.9,411,2.9,Healthy,0.0
S003,P0020,Groceries,West,137.55,108.51,1.0,211.3,348.9,601.1,417,3.0,Healthy,0.0
S003,P0010,Furniture,East,136.01,109.32,1.0,211.8,347.8,600.3,413,3.0,Healthy,0.0
S005,P0008,Electronics,West,133.87,111.2,1.0,213.5,347.4,594.7,409,3.1,Healthy,0.0
S003,P0004,Groceries,North,132.23,104.89,1.0,203.9,336.2,592.0,415,3.1,Healthy,0.0
S002,P0019,Furniture,West,131.83,107.43,1.0,207.3,339.1,594.3,409,3.1,Healthy,0.0
S002,P0010,Toys,West,135.45,112.87,1.0,216.5,352.0,600.4,419,3.1,Healthy,0.0
S003,P0006,Furniture,North,139.77,114.1,1.0,220.1,359.9,602.2,451,3.2,Healthy,0.0
S004,P0003,Furniture,West,129.19,107.46,1.0,206.2,335.4,586.2,419,3.2,Healthy,0.0
S002,P0015,Toys,South,130.79,104.0,1.0,202.1,332.9,589.7,433,3.3,Healthy,0.0
S001,P0011,Electronics,West,132.49,109.9,1.0,211.1,343.6,596.4,449,3.4,Healthy,0.0
S001,P0005,Groceries,North,133.13,107.37,1.0,207.8,340.9,600.5,471,3.5,Healthy,0.0
S002,P0013,Electronics,South,134.22,106.21,1.0,206.7,340.9,595.9,472,3.5,Healthy,0.0
S002,P0005,Toys,West,132.57,104.44,1.0,203.5,336.0,586.3,464,3.5,Healthy,0.0
S003,P0009,Furniture,South,140.47,112.71,1.0,218.4,358.9,615.1,496,3.5,Healthy,0.0
S004,P0001,Electronics,East,138.54,110.97,1.0,215.2,353.7,608.1,497,3.6,Healthy,0.0
S005,P0006,Furniture,North,135.25,107.18,1.0,208.5,343.7,597.1,491,3.6,Healthy,0.0
S005,P0012,Electronics,North,134.65,108.38,1.0,209.9,344.5,588.8,495,3.7,Healthy,0.0
